timestamp,ID1_tag_3,ID2_tag_4,ID2_tag_5,DP2_tag_1,DP2_tag_2
2023-05-01 05:40:00,3339.6766,619.76798,290.60094,162.85942,700.9764600000001
2023-05-01 05:45:00,3332.2228,582.80738,293.28056,162.51834,699.49774
2023-05-01 05:50:00,3329.9734,570.55902,294.76562,163.10628,700.0714399999999
2023-05-01 05:55:00,3320.1133,703.13732,296.66422,163.2215,700.11286
2023-05-01 06:00:00,3304.4092,658.1799800000001,296.87356,163.36838,700.4139200000001
2023-05-01 06:05:00,3299.0423,617.54672,295.55376,163.6804,700.63906
2023-05-01 06:10:00,3302.0285,610.0268199999999,295.24776,163.50174,699.2566199999999
2023-05-01 06:15:00,3305.337199999999,501.58824,294.7578,163.63582,699.85818
2023-05-01 06:20:00,3293.3523,691.4305400000001,295.2894,162.68922,700.83802
2023-05-01 06:25:00,3259.8939,637.86504,298.35056,161.7464,699.3133799999999
2023-05-01 06:30:00,3226.8307,632.4111,296.6175,162.92614,700.7535
2023-05-01 06:35:00,3267.9913,563.04316,293.97086,162.90604,698.14958
2023-05-01 06:40:00,3317.768,704.39208,294.40844,163.63694,700.30656
2023-05-01 06:45:00,3322.123000000001,669.8189,293.94638,163.59364,701.1670200000001
2023-05-01 06:50:00,3323.3932,616.64298,292.41972,164.19438,699.19312
2023-05-01 06:55:00,3340.9439,627.91156,291.15936,164.39948,700.2084600000001
2023-05-01 07:00:00,3340.4926,644.28984,289.9028,164.1842,698.74272
2023-05-01 07:05:00,3295.7753,668.20428,287.27658,164.38066,701.12048
2023-05-01 07:10:00,3022.1741,636.97702,285.38986,164.42798,700.18398
2023-05-01 07:15:00,2468.2933,604.81322,285.2302,165.32906,700.07118
2023-05-01 07:20:00,2071.143,649.01578,288.35932,166.58048,700.58638
2023-05-01 07:25:00,2352.2803,568.1546999999999,289.92254,165.32724,698.5
2023-05-01 07:30:00,2938.5384,653.07412,293.69206,163.4167,700.49166
2023-05-01 07:35:00,3200.4645,603.6384599999999,295.01212,164.73498,697.80462
2023-05-01 07:40:00,3242.2869,662.7729,297.80726,165.36736,702.9105999999999
